Date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Month
2009-01-01,37.8,35.0,12.7,29.7,26.4,36.8,274.0,0.0,0.0,01
2009-01-02,43.2,32.0,14.7,29.5,12.8,18.0,240.0,0.0,0.0,01
2009-01-03,25.7,60.0,12.7,29.7,8.3,12.2,290.0,0.0,0.0,01
2009-01-04,9.3,67.0,0.1,30.4,2.9,4.5,47.0,0.0,0.0,01
2009-01-05,23.5,30.0,-5.3,29.9,16.7,23.1,265.0,0.0,0.0,01
2009-01-06,24.8,42.0,4.6,29.8,16.0,23.9,276.0,0.0,0.0,01
2009-01-07,34.2,60.0,21.6,29.7,20.4,30.0,276.0,0.0,0.0,01
2009-01-08,42.1,41.0,20.0,29.8,17.5,25.2,265.0,0.0,0.0,01
2009-01-09,30.3,46.0,11.4,30.0,6.9,10.6,292.0,0.0,0.0,01
2009-01-10,26.2,38.0,3.6,30.4,18.2,24.6,258.0,0.0,0.0,01
2009-01-11,30.1,41.0,9.0,30.3,17.0,24.6,270.0,0.0,0.0,01
2009-01-12,23.4,60.0,11.0,30.3,7.4,11.0,351.0,0.03,0.03,01
2009-01-13,32.4,47.0,14.6,30.2,16.3,22.6,254.0,0.03,0.03,01
2009-01-14,33.1,45.0,14.2,30.2,9.9,14.0,259.0,0.03,0.03,01
2009-01-15,35.7,42.0,14.5,30.3,7.9,11.8,270.0,0.03,0.03,01
2009-01-16,41.6,28.0,9.7,30.3,11.9,16.7,269.0,0.03,0.03,01
2009-01-17,40.9,21.0,3.1,30.3,6.7,9.7,276.0,0.03,0.03,01
2009-01-18,43.4,15.0,-1.7,30.3,9.6,14.7,288.0,0.03,0.03,01
2009-01-19,46.6,19.0,3.6,30.3,7.0,10.5,293.0,0.03,0.03,01
2009-01-20,40.0,27.0,-1.0,30.4,4.8,7.4,285.0,0.03,0.03,01
2009-01-21,48.2,11.0,-4.6,30.0,12.4,16.8,257.0,0.03,0.03,01
2009-01-22,44.8,40.0,20.8,29.9,11.8,16.3,264.0,0.03,0.03,01
2009-01-23,24.8,81.0,19.6,30.2,3.7,5.3,52.0,0.03,0.03,01
2009-01-24,35.4,68.0,25.0,30.0,8.2,10.8,281.0,0.09,0.09,01
2009-01-25,21.0,77.0,14.5,29.9,4.3,6.1,35.0,0.2,0.2,01
2009-01-26,2.8,73.0,-4.0,30.3,3.9,5.6,51.0,0.2,0.2,01
2009-01-27,7.9,51.0,-8.1,30.4,12.7,17.7,263.0,0.2,0.2,01
2009-01-28,21.8,43.0,2.6,30.2,19.6,28.0,269.0,0.2,0.2,01
2009-01-29,22.5,40.0,1.3,30.3,9.4,14.4,267.0,0.2,0.2,01
2009-01-30,36.0,33.0,9.4,30.3,15.7,21.3,261.0,0.21,0.21,01
2009-01-31,38.3,22.0,2.7,29.9,15.4,21.4,260.0,0.21,0.21,01
2009-02-01,30.8,26.0,-1.5,30.1,11.4,17.0,279.0,0.0,0.21,02
2009-02-02,33.0,33.0,6.3,30.2,16.6,24.4,271.0,0.0,0.21,02
2009-02-03,38.6,37.0,13.6,30.3,10.3,15.0,275.0,0.0,0.21,02
2009-02-04,43.3,16.0,-1.0,30.2,7.0,10.1,271.0,0.0,0.21,02
2009-02-05,45.6,15.0,0.6,30.0,11.1,15.8,270.0,0.0,0.21,02
2009-02-06,33.4,50.0,14.9,29.9,7.3,10.5,256.0,0.0,0.21,02
2009-02-07,34.2,56.0,19.4,30.1,4.3,6.9,272.0,0.0,0.21,02
2009-02-08,31.5,65.0,19.9,29.9,2.0,3.4,39.0,0.0,0.21,02
2009-02-09,31.2,48.0,13.2,29.4,18.4,25.4,268.0,0.0,0.21,02
2009-02-10,25.8,56.0,11.3,29.7,3.5,5.4,334.0,0.0,0.21,02
2009-02-11,23.2,53.0,8.3,30.0,6.4,9.4,267.0,0.01,0.22,02
2009-02-12,25.9,48.0,7.9,30.1,5.6,8.4,298.0,0.01,0.22,02
